Samples,Drug,Concentration,Treatment time (hrs),Experiment,CVS
T4_BDQ_5x_A_READS,BDQ,3.5,4,BL_data,-160408530492.20898
T4_BDQ_5x_B_READS,BDQ,3.5,4,BL_data,-155401035744.20752
T4_BDQ_5x_C_READS,BDQ,3.5,4,BL_data,-165821514132.1006
T24_BDQ_5x_A_READS,BDQ,3.5,24,BL_data,-173322107305.9331
T24_BDQ_5x_B_READS,BDQ,3.5,24,BL_data,-173928539137.61572
T24_BDQ_5x_C_READS,BDQ,3.5,24,BL_data,-169334281976.2871
T72_BDQ_5x_A_READS,BDQ,3.5,72,BL_data,-64990824745.367676
T72_BDQ_5x_B_READS,BDQ,3.5,72,BL_data,-88702218812.20215
T72_BDQ_5x_C_READS,BDQ,3.5,72,BL_data,-71287630270.28467
T4_BDQ_10x_A_READS,BDQ,7.0,4,BL_data,-166818184172.55176
T4_BDQ_10x_B_READS,BDQ,7.0,4,BL_data,-169286123811.511
T4_BDQ_10x_C_READS,BDQ,7.0,4,BL_data,-163175039419.23584
T24_BDQ_10x_A_READS,BDQ,7.0,24,BL_data,-176909534322.34033
T24_BDQ_10x_B_READS,BDQ,7.0,24,BL_data,-176941348058.99536
T24_BDQ_10x_C_READS,BDQ,7.0,24,BL_data,-171732023236.08618
T72_BDQ_10x_A_READS,BDQ,7.0,72,BL_data,-157787271231.2937
T72_BDQ_10x_B_READS,BDQ,7.0,72,BL_data,-162597448954.20923
T72_BDQ_10x_C_READS,BDQ,7.0,72,BL_data,-138422423829.41772
T4_CFZ_halfx_A_READS,CFZ,0.6,4,BL_data,-11420044927.297852
T4_CFZ_halfx_B_READS,CFZ,0.6,4,BL_data,-13357789338.845215
T4_CFZ_halfx_C_READS,CFZ,0.6,4,BL_data,-11111530591.01709
T24_CFZ_halfx_A_READS,CFZ,0.6,24,BL_data,-12426308162.338379
T24_CFZ_halfx_B_READS,CFZ,0.6,24,BL_data,-15238459566.793457
T24_CFZ_halfx_C_READS,CFZ,0.6,24,BL_data,-13564037498.595215
T72_CFZ_halfx_A_READS,CFZ,0.6,72,BL_data,-16450483091.060547
T72_CFZ_halfx_B_READS,CFZ,0.6,72,BL_data,-18285852071.554688
T72_CFZ_halfx_C_READS,CFZ,0.6,72,BL_data,-23731164794.549805
T4_CFZ_1x_A_READS,CFZ,3.0,4,BL_data,-11491932540.387207
T4_CFZ_1x_B_READS,CFZ,3.0,4,BL_data,-12025504978.005371
T4_CFZ_1x_C_READS,CFZ,3.0,4,BL_data,-12368999723.553223
T24_CFZ_1x_A_READS,CFZ,3.0,24,BL_data,-26521859118.611816
T24_CFZ_1x_B_READS,CFZ,3.0,24,BL_data,-27767260806.024902
T24_CFZ_1x_C_READS,CFZ,3.0,24,BL_data,-28109631039.72119
T72_CFZ_1x_A_READS,CFZ,3.0,72,BL_data,-35945012782.79053
T72_CFZ_1x_B_READS,CFZ,3.0,72,BL_data,-36720370196.18115
T72_CFZ_1x_C_READS,CFZ,3.0,72,BL_data,-36503555940.98389
T4_INH_2x_A_READS,INH,1.8,4,BL_data,-8462645916.368652
T4_INH_2x_B_READS,INH,1.8,4,BL_data,-7970905265.44043
T4_INH_2x_C_READS,INH,1.8,4,BL_data,-7527130260.20166
T24_INH_2x_A_READS,INH,1.8,24,BL_data,-25164600657.87256
T24_INH_2x_B_READS,INH,1.8,24,BL_data,-26307232902.317383
T24_INH_2x_C_READS,INH,1.8,24,BL_data,-25859606424.4917
T72_INH_2x_A_READS,INH,1.8,72,BL_data,-57550593543.75928
T72_INH_2x_B_READS,INH,1.8,72,BL_data,-58284180607.80078
T72_INH_2x_C_READS,INH,1.8,72,BL_data,-56192242526.14697
T4_INH_10x_A_READS,INH,9.0,4,BL_data,-8118628817.116211
T4_INH_10x_B_READS,INH,9.0,4,BL_data,-11728640114.682129
T4_INH_10x_C_READS,INH,9.0,4,BL_data,-5514286870.895996
T24_INH_10x_A_READS,INH,9.0,24,BL_data,-26080476169.569336
T24_INH_10x_B_READS,INH,9.0,24,BL_data,-26926034870.021973
T24_INH_10x_C_READS,INH,9.0,24,BL_data,-27744390379.140625
T72_INH_10x_A_READS,INH,9.0,72,BL_data,-59791139202.677246
T72_INH_10x_B_READS,INH,9.0,72,BL_data,-63066334660.21826
T72_INH_10x_C_READS,INH,9.0,72,BL_data,-61298183184.458496
T4_LZD_1x_A_READS,LZD,0.7,4,BL_data,-50895050457.08545
T4_LZD_1x_B_READS,LZD,0.7,4,BL_data,-67043866106.60889
T4_LZD_1x_C_READS,LZD,0.7,4,BL_data,-49783388318.24609
T24_LZD_1x_A_READS,LZD,0.7,24,BL_data,-24780006108.836426
T24_LZD_1x_B_READS,LZD,0.7,24,BL_data,-26406573390.537598
T24_LZD_1x_C_READS,LZD,0.7,24,BL_data,-24976640177.858887
T72_LZD_1x_A_READS,LZD,0.7,72,BL_data,-25849143459.149414
T72_LZD_1x_B_READS,LZD,0.7,72,BL_data,-25587278869.209473
T72_LZD_1x_C_READS,LZD,0.7,72,BL_data,-24476345776.69043
T4_LZD_5x_A_READS,LZD,3.7,4,BL_data,-113604946054.43555
T4_LZD_5x_B_READS,LZD,3.7,4,BL_data,-106735012823.01611
T4_LZD_5x_C_READS,LZD,3.7,4,BL_data,-115208292798.3208
T24_LZD_5x_A_READS,LZD,3.7,24,BL_data,-127770221248.62744
T24_LZD_5x_B_READS,LZD,3.7,24,BL_data,-129997649291.6726
T24_LZD_5x_C_READS,LZD,3.7,24,BL_data,-126013317352.4961
T72_LZD_5x_A_READS,LZD,3.7,72,BL_data,-125518565351.68994
T72_LZD_5x_B_READS,LZD,3.7,72,BL_data,-125438972385.13525
T72_LZD_5x_C_READS,LZD,3.7,72,BL_data,-124589315383.39404
T4_MXF_0.4x_A_READS,MXF,1.7,4,BL_data,-15781625234.087402
T4_MXF_0.4x_B_READS,MXF,1.7,4,BL_data,-21327809886.04883
T4_MXF_0.4x_C_READS,MXF,1.7,4,BL_data,-24282947080.379395
T24_MXF_0.4x_A_READS,MXF,1.7,24,BL_data,-46483250598.79883
T24_MXF_0.4x_B_READS,MXF,1.7,24,BL_data,-42912821570.40674
T24_MXF_0.4x_C_READS,MXF,1.7,24,BL_data,-47567974701.020996
T72_MXF_0.4x_A_READS,MXF,1.7,72,BL_data,-62370782148.27295
T72_MXF_0.4x_B_READS,MXF,1.7,72,BL_data,-62994869813.56641
T72_MXF_0.4x_C_READS,MXF,1.7,72,BL_data,-64889601913.25342
T4_MXF_1x_A_READS,MXF,4.2,4,BL_data,-30320547211.34668
T4_MXF_1x_B_READS,MXF,4.2,4,BL_data,-39826663272.271484
T4_MXF_1x_C_READS,MXF,4.2,4,BL_data,-29983567705.7417
T24_MXF_1x_A_READS,MXF,4.2,24,BL_data,-63446085523.069824
T24_MXF_1x_B_READS,MXF,4.2,24,BL_data,-62349318783.779785
T24_MXF_1x_C_READS,MXF,4.2,24,BL_data,-68118696987.70801
T72_MXF_1x_A_READS,MXF,4.2,72,BL_data,-130442089097.51196
T72_MXF_1x_B_READS,MXF,4.2,72,BL_data,-135676372580.19702
T72_MXF_1x_C_READS,MXF,4.2,72,BL_data,-138570789134.34473
T4_PA824_1x_A_READS,PA824,2.0,4,BL_data,-27017664421.243652
T4_PA824_1x_B_READS,PA824,2.0,4,BL_data,-26725037955.193848
T4_PA824_1x_C_READS,PA824,2.0,4,BL_data,-22961798812.39502
T24_PA824_1x_A_READS,PA824,2.0,24,BL_data,-33614454206.253418
T24_PA824_1x_B_READS,PA824,2.0,24,BL_data,-36288047056.65723
T24_PA824_1x_C_READS,PA824,2.0,24,BL_data,-35674703447.367676
T72_PA824_1x_A_READS,PA824,2.0,72,BL_data,-20330730617.206543
T72_PA824_1x_B_READS,PA824,2.0,72,BL_data,-29851672789.529785
T72_PA824_1x_C_READS,PA824,2.0,72,BL_data,-23991363602.226074
T4_PA824_5x_A_READS,PA824,4.6,4,BL_data,-70167128014.12549
T4_PA824_5x_B_READS,PA824,4.6,4,BL_data,-73406984287.78613
T4_PA824_5x_C_READS,PA824,4.6,4,BL_data,-72398193596.79639
T24_PA824_5x_A_READS,PA824,4.6,24,BL_data,-86935167268.05273
T24_PA824_5x_B_READS,PA824,4.6,24,BL_data,-88775878454.15186
T24_PA824_5x_C_READS,PA824,4.6,24,BL_data,-89312616625.20361
T72_PA824_5x_A_READS,PA824,4.6,72,BL_data,-86770091652.4878
T72_PA824_5x_B_READS,PA824,4.6,72,BL_data,-87609951921.69629
T72_PA824_5x_C_READS,PA824,4.6,72,BL_data,-86799055869.89795
T4_POA_10x_A_READS,POA,0.0,4,BL_data,-15135137247.841309
T4_POA_10x_B_READS,POA,0.0,4,BL_data,-16951479576.246582
T4_POA_10x_C_READS,POA,0.0,4,BL_data,-14989933122.699707
T24_POA_10x_A_READS,POA,0.0,24,BL_data,-5058037899.284668
T24_POA_10x_B_READS,POA,0.0,24,BL_data,-5076776664.91748
T24_POA_10x_C_READS,POA,0.0,24,BL_data,-7116834860.260742
T72_POA_10x_A_READS,POA,0.0,72,BL_data,-27762379372.211426
T72_POA_10x_B_READS,POA,0.0,72,BL_data,-31263644728.710938
