,Collected,Exp_type,Exp_ID,Exp_FTP,Pltf_ID,Pltf_FTP,Sample_desc,Exp_desc,Sample_ID,Sample_FTP,Sample_ORG,Sample_acc,Source,Sample_class
GSM2881230,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_RIF_24hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881230,dnf,Mycobacterium tuberculosis H37Rv,SRX3456134,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881229,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_RIF_24hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881229,dnf,Mycobacterium tuberculosis H37Rv,SRX3456133,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881228,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_RIF_24hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881228,dnf,Mycobacterium tuberculosis H37Rv,SRX3456132,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881227,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_STR_24hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881227,dnf,Mycobacterium tuberculosis H37Rv,SRX3456131,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881226,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_STR_24hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881226,dnf,Mycobacterium tuberculosis H37Rv,SRX3456130,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881225,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_STR_24hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881225,dnf,Mycobacterium tuberculosis H37Rv,SRX3456129,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881224,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_EMB_24hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881224,dnf,Mycobacterium tuberculosis H37Rv,SRX3456128,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881223,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_EMB_24hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881223,dnf,Mycobacterium tuberculosis H37Rv,SRX3456127,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881222,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_EMB_24hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881222,dnf,Mycobacterium tuberculosis H37Rv,SRX3456126,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881221,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_INH_24hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881221,dnf,Mycobacterium tuberculosis H37Rv,SRX3456125,M. tuberculosis H37Rv,Manually IDd non-viable
